,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
397329,5.2375951689999996,6.972683049,7.532649254,4.261548471,2.50650026,1.97849026,2.656452094,2.481100989,1.777945905,1.5889239919999998,1.335406567,0.7852694290000001,1.23589468,1.2561924979999999,1.362921545,1.3445957590000002,2.049668311,2.333527794,2.321035915,3.6134988860000004,2.166231372,3.285714286,4.484239645,2.821709747,2.5545466869999998
397953,5.46328850283661,6.37678413525504,4.97525474080137,6.01322684708663,3.2306628824716603,4.047314574711669,-3.71276108282852,1.80237775700526,5.578804636675839,6.004931394529789,4.488483394131349,3.8345571096868394,4.22434144206704,1.7318753249575702,1.2545348884466299,1.826005356198,1.95140685589671,1.56372572393631,2.8554048418627596,1.80205965588911,-0.86329917702122,-1.05356416466371,-1.48136245842666,-1.04709611863132,-1.37756519557843
398182,7.400000095367429,7.0,8.60000038146973,9.80000019073486,10.3999996185303,9.60000038146973,8.699999809265138,8.199999809265138,7.099999904632571,6.199999809265139,6.0,5.599999904632571,4.699999809265139,5.0,4.800000190734861,4.59999990463257,4.800000190734861,5.400000095367429,5.300000190734861,5.599999904632571,7.5,7.800000190734861,8.0,7.900000095367429,7.5
